ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
67,variable,,Funda-Personalizada Apple,1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. One",,,taxable,,1,18,,0,0,,,,,1,,,,Fundas,Personalizado,,,,,,,,,,,0,Marca,Apple,0,1,Modelo,"IPhone 6, Iphone 6 Plus, IPhone 6S, IPhone 6S Plus, IPhone 7, IPhone 7 Plus, IPhone 8, IPhone 8 Plus, IPhone XR, IPhone XS, IPhone XS Max, IPhone 11, IPhone 11 Pro, IPhone 12, IPhone 12 Mini, IPhone 12 Pro, IPhone 12 Pro Max
",0,1
73,variation,,"Funda-Personalizada, iPhone 6",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,37000,,,,,,,id:67,,,,,,1,Marca,Apple,,1,Modelo,IPhone 6,,1
72,variation,,"Funda-Personalizada, iPhone 6 plus",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,37000,,,,,,,id:67,,,,,,2,Marca,Apple,,1,Modelo,IPhone 6 Plus,,1
74,variation,,"Funda-Personalizada, iPhone 6S",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,37000,,,,,,,id:67,,,,,,3,Marca,Apple,,1,Modelo,IPhone 6S,,1
75,variation,,"Funda-Personalizada, iPhone 6S Plus",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,37000,,,,,,,id:67,,,,,,4,Marca,Apple,,1,Modelo,IPhone 6S Plus,,1
69,variation,,"Funda-Personalizada, Iphone 7",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,37000,,,,http://localhost/upcase.com.co/wp-content/uploads/Fancy_Product/base_Mockup/Mockup_7331584_iPhone-7-8.png,,,id:67,,,,,,5,Marca,Apple,,1,Modelo,IPhone 7,,1
75,variation,,"Funda-Personalizada, iPhone 7 Plus",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,37000,,,,,,,id:67,,,,,,6,Marca,Apple,,1,Modelo,IPhone 7 Plus,,1
76,variation,,"Funda-Personalizada, iPhone 8",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,37000,,,,,,,id:67,,,,,,7,Marca,Apple,,1,Modelo,IPhone 8,,1
77,variation,,"Funda-Personalizada, iPhone 8 Plus",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,37000,,,,,,,id:67,,,,,,8,Marca,Apple,,1,Modelo,IPhone 8 Plus,,1
78,variation,,"Funda-Personalizada, iPhone XR",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,37000,,,,,,,id:67,,,,,,9,Marca,Apple,,1,Modelo,IPhone XR,,1
79,variation,,"Funda-Personalizada, iPhone XS",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,37000,,,,,,,id:67,,,,,,10,Marca,Apple,,1,Modelo,IPhone XS,,1
80,variation,,"Funda-Personalizada, iPhone XS Max",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,37000,,,,,,,id:67,,,,,,11,Marca,Apple,,1,Modelo,IPhone XS Max,,1
81,variation,,"Funda-Personalizada, iPhone 11",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,37000,,,,,,,id:67,,,,,,12,Marca,Apple,,1,Modelo,IPhone 11,,1
